Unnamed: 0,Text,label
707,get fucked racist inbred hillbilly fuck,1
2589,lmao lebron expression say nigga fuckin faggot,1
748,know ultimate warrior died god love fag anti gay crusader little light joke necessary,1
1392,oh pain med made brain fuzzy though banjo kazooie sec,0
2058,okay cool one mine black fuzzy pink back sparkle hallelujah,0
73,going sell iphone mac support faggot,1
1158,lol one flavor think yellow idk yea bomb,0
619,best asian massage park slope top rated spa,0
2916,royal fire sale want whole team leave gardner tanaka rest please go along joe cash,0
458,well since blood get g pa time tell wop lyric situation,0
1946,stupid loose pussyed bitch,1
1824,far tell coon track cab door window tractor parked tree away home,0
2810,well yankee year run,0
2436,nigga sleepin bitch grandma lmfao maury fake af,1
733,yeah think think,0
1845,nigga entertain nicole bitch see ever take bitch posted naked pic serious,1
1996,let guess yellow cake crap different president,0
1033,behind plate game tonight az looking buy red yellow balkamania shirt tear,0
2085,lowkey called faggot faggot,1
123,ebloa case texas kill nigger might safe,1
1882,purple pink faggot want protected police instead bearing arm need,1
1729,dumb bitch,1
1830,bias objective fact philly fan cunt,1
1555,wish spend go filthy theatre watch fuzzy screen bad sound,0
1880,better nig lol anything ill flip u something tryna get cash,1
946,bird feather go away,0
950,called monkey lol shoe fit cause sure look like married one,0
2756,peanut butter oreo lt,0
1534,got thanks hun ima text u,0
2907,nigger ignorant,1
1156,shit girl bitch made nigga,1
1281,nigga still runnin round sayin yall eat pussy must suckin dick,1
1836,need beany ordered two true religion one lol,0
114,lmfaoooo hate black people black people nigger,1
620,stfu u ugly dyke,1
1380,color entire arm black sharpie fist wife asshole know nigger dick feel like,1
2337,hope get eye cancer bitch,1
1884,mutation genealogy convoluted basically zebra gene currieries slaughtered extinction,0
36,charlie crist asked keep poll broward open pm claiming long line medium report say turnout light broward,0
2030,cardinal score st lead top rd bird base,0
1387,someone shut beaner please,1
2764,yellow sorry,0
1495,got faggot,1
1568,dude remember wop video omg find,0
1222,always one never realize worst unsolicited unaffiliated trash talker,0
1758,fuck bitch bout u get bitch nigga stupid,1
845,say old man hope survive another year silly jigga boo monkey,1
813,wishin local take da yankee game spoil,0
1783,course rascally radio blaming dead az firefighter oy vey,0
2326,great white bitten twice shy,0
1703,u coon wait wear oreo j,1
542,speak one coherent sentence without sounding like nig seriously,1
1567,nigga cracker chase,1
2417,yeah people know trash game limited showed late game portland,0
2056,think beat mayweather far trash unlike floyd actually put maidana,0
47,deleting pic realized dike back ground dressed like nigga wedge bitch,1
1702,working route running catching good wr grier fun white trash racist uf fan,1
471,nee dat na langdurig gepest worden zoals ik al zei kiem smoren ook vb voor kind hoe je moet optreden,0
1079,probably yeah account personality handle though wear yellow suit put point,0
857,mean trash,0
313,see flipping bird,0
2674,given rickety slant roof say like pizza shanty,0
309,tranny dragon eh know people love,0
2847,lol trash would kept cute,0
2565,hairy like monkey p,0
871,care tho cracker,1
522,got ta love redneck loud stupid stubborn full schitt,1
2385,one anglo saxon protestant right alive u none foreign filth,1
1006,told mariam cigarette birthday also called trash rn,0
2225,still faggot,1
1119,anyone bring monkey,0
1489,sick coon antic accuracy henny gt water,1
